time,vehicle_id,speed,acceleration,x,y,edge_id,lane_id,signed_power_watts,consumption_power_watts
29.0,327,0.0,0.0,4864.16,1842.16,42819748#9,42819748#9_0,500.0,500.0
34.0,327,6.408769560454525,-0.8939674905966966,4884.521898345856,1845.6252110497342,4744915#5,4744915#5_0,-7886.595580467594,0.0
35.0,327,6.3301902714307605,-0.07857928902376443,4890.256012340939,1848.3060566142124,4744915#5,4744915#5_0,816.0870239351509,816.0870239351509
36.0,327,7.307619952096715,0.9774296806659546,4896.875517291238,1851.4008451901398,4744915#5,4744915#5_0,13768.708764778788,13768.708764778788
37.0,327,6.391953163606226,-0.9156667884904888,4902.665578335179,1854.1078474368721,4744915#5,4744915#5_0,-8096.355021636933,0.0
38.0,327,6.659330751502998,0.2673775878967719,4908.697839613709,1856.9280845138098,4744915#5,4744915#5_0,4684.619544548031,4684.619544548031
39.0,327,6.647488226730488,-0.011842524772510465,4914.719373507418,1859.7433062628274,4744915#5,4744915#5_0,1583.2023588691363,1583.2023588691363
40.0,327,7.321887424833252,0.6743991981027646,4921.351802447611,1862.8441371359627,4744915#5,4744915#5_0,10097.35316213954,10097.35316213954
42.0,327,6.5304955917299905,0.3852159735023406,4932.084651179618,1867.8770996130274,:30237481_2,:30237481_2_0,5881.414891701221,5881.414891701221
43.0,327,7.287821041059792,0.7573254493298016,4938.586902624675,1870.9493429662095,4744915#8,4744915#8_0,11058.377679272131,11058.377679272131
44.0,327,6.671210144193023,-0.616610896866769,4944.612056148073,1873.813609201367,4744915#8,4744915#8_0,-5136.245172995107,0.0
45.0,327,6.499423211266398,-0.17178693292662484,4950.482059013371,1876.6041191762677,4744915#8,4744915#8_0,-178.99536133692368,0.0
46.0,327,6.956317067018822,0.4568938557524236,4956.764708994456,1879.590795306303,4744915#8,4744915#8_0,7080.679976439126,7080.679976439126
47.0,327,6.78117851092305,-0.17513855609577167,4962.889181273814,1882.502276165637,4744915#8,4744915#8_0,-235.29288504980354,0.0
48.0,327,6.217980754527375,-0.5631977563956756,4968.504997271481,1885.1719495743748,4744915#8,4744915#8_0,-4215.56453680616,0.0
50.0,327,6.76655511303164,-0.584444530075416,4981.255372831868,1891.233283955543,4744915#8,4744915#8_0,-4850.275026240465,0.0
51.0,327,6.743239259638935,-0.023315853392705144,4987.345579991614,1894.128475698796,4744915#8,4744915#8_0,1473.613292417111,1473.613292417111
52.0,327,7.3341087951912725,0.5908695355523372,4993.96943540813,1897.2773556970258,4744915#8,4744915#8_0,9092.916967933299,9092.916967933299
55.0,327,6.776371956023499,-0.5219614675268538,5012.324705199539,1906.0031714453826,4744915#8,4744915#8_0,-4151.965187538158,0.0
56.0,327,7.056429248129129,0.2800572921056306,5018.697772248549,1909.0328304726563,4744915#8,4744915#8_0,5099.959786931908,5099.959786931908
57.0,327,7.236166827299743,0.17973757917061395,5025.233170641501,1912.13965934889,4744915#8,4744915#8_0,4015.315150692001,4015.315150692001
58.0,327,7.179630612664036,-0.056536214635706905,5031.7175079277795,1915.2222145525598,4744915#8,4744915#8_0,1158.0450103032922,1158.0450103032922
59.0,327,6.829065225169174,-0.35056538749486243,5037.7939074337,1918.1163339715724,4744915#9,4744915#9_0,-2235.221568769952,0.0
60.0,327,7.257258063799813,0.42819283863063884,5044.122898622217,1921.6542043566308,:30237482_1,:30237482_1_0,7031.697685670451,7031.697685670451
