partition_id,source_client_id,slot_profile_code,slot_profile,non_iid_num_examples,iid_num_examples,iid_calm_examples,iid_aggressive_examples
0,19,0,Calm,12,143,50,93
1,34,0,Calm,6,143,50,93
2,138,0,Calm,11,143,50,93
3,116,0,Calm,8,143,50,93
4,35,0,Calm,24,143,50,93
5,141,0,Calm,11,142,49,93
6,0,0,Calm,18,142,49,93
7,136,0,Calm,31,142,49,93
8,137,0,Calm,48,142,49,93
9,52,0,Calm,64,142,49,93
10,71,0,Calm,36,142,49,93
11,105,0,Calm,64,142,49,93
12,157,0,Calm,87,142,49,93
13,94,0,Calm,81,142,49,93
14,147,0,Calm,36,142,49,93
15,111,0,Calm,183,142,49,93
16,75,0,Calm,175,142,49,93
17,128,0,Calm,94,142,49,93
18,39,0,Calm,89,142,49,93
19,10,0,Calm,96,142,49,93
20,26,0,Calm,92,142,49,93
21,114,0,Calm,26,142,49,93
22,140,0,Calm,52,142,49,93
23,149,0,Calm,127,142,49,93
24,22,0,Calm,79,142,49,93
25,15,0,Calm,15,142,49,93
26,48,0,Calm,49,142,49,93
27,88,0,Calm,162,142,49,93
28,38,0,Calm,38,142,49,93
29,66,0,Calm,74,142,49,93
30,156,0,Calm,196,142,49,93
31,17,0,Calm,164,142,49,93
32,123,0,Calm,176,142,49,93
33,6,0,Calm,194,142,49,93
34,161,0,Calm,107,142,49,93
35,93,0,Calm,189,142,49,93
36,2,0,Calm,158,142,49,93
37,119,0,Calm,184,142,49,93
38,112,0,Calm,188,142,49,93
39,162,0,Calm,304,142,49,93
40,14,0,Calm,275,142,49,93
41,91,1,Aggressive,296,142,49,93
42,139,1,Aggressive,132,142,49,93
43,134,1,Aggressive,133,142,49,93
44,167,1,Aggressive,204,142,49,93
45,53,1,Aggressive,97,142,49,93
46,43,1,Aggressive,125,142,49,93
47,160,1,Aggressive,351,142,49,93
48,104,1,Aggressive,99,142,49,93
49,121,1,Aggressive,315,142,49,93
50,82,1,Aggressive,337,142,49,93
51,154,1,Aggressive,284,142,49,93
52,69,1,Aggressive,328,142,49,93
53,151,1,Aggressive,330,142,49,93
54,85,1,Aggressive,455,142,49,93
55,113,1,Aggressive,376,142,49,93
56,4,1,Aggressive,155,142,49,93
57,122,1,Aggressive,105,142,49,93
58,158,1,Aggressive,222,142,49,93
59,118,1,Aggressive,239,142,49,93
60,146,1,Aggressive,46,142,49,93
61,102,1,Aggressive,99,142,49,93
62,101,1,Aggressive,244,142,49,93
63,5,1,Aggressive,79,142,49,93
64,73,1,Aggressive,245,142,49,93
65,100,1,Aggressive,235,142,49,93
66,130,1,Aggressive,119,142,49,93
67,78,1,Aggressive,183,142,49,93
68,165,1,Aggressive,128,142,49,93
69,55,1,Aggressive,240,142,49,93
70,47,1,Aggressive,240,142,49,93
71,143,1,Aggressive,104,142,49,93
72,76,1,Aggressive,151,142,49,93
73,1,1,Aggressive,136,142,49,93
74,109,1,Aggressive,90,142,49,93
75,84,1,Aggressive,222,142,49,93
76,70,1,Aggressive,152,141,49,92
77,12,1,Aggressive,120,141,49,92
78,124,1,Aggressive,52,141,49,92
79,110,1,Aggressive,77,141,49,92
80,108,1,Aggressive,40,141,49,92
81,103,1,Aggressive,35,141,49,92
