round,federated_rmse_w,centralized_baseline_rmse_w,federated_minus_centralized_w
0,7674.0613034945945,5965.9245307222345,1708.13677277236
1,7486.255780702826,5965.9245307222345,1520.3312499805916
2,7319.499589134083,5965.9245307222345,1353.5750584118487
3,7179.965697935709,5965.9245307222345,1214.0411672134742
4,7079.811160894291,5965.9245307222345,1113.8866301720564
5,7005.732915303701,5965.9245307222345,1039.8083845814663
6,6946.718286953268,5965.9245307222345,980.7937562310335
7,6900.9970431738975,5965.9245307222345,935.072512451663
8,6859.097441285837,5965.9245307222345,893.1729105636023
9,6818.755050654584,5965.9245307222345,852.8305199323495
10,6779.626319711662,5965.9245307222345,813.7017889894278
11,6736.70370113357,5965.9245307222345,770.7791704113351
12,6705.144494017721,5965.9245307222345,739.2199632954862
13,6668.931557759105,5965.9245307222345,703.0070270368706
14,6629.410249206857,5965.9245307222345,663.4857184846223
15,6596.764702065585,5965.9245307222345,630.8401713433504
16,6565.385651180621,5965.9245307222345,599.4611204583862
17,6537.694175516879,5965.9245307222345,571.7696447946446
18,6504.845491954028,5965.9245307222345,538.9209612317936
19,6478.280761929293,5965.9245307222345,512.356231207058
20,6460.825514193669,5965.9245307222345,494.9009834714343
